Wall time,Step,Value
1588097376.9709463,6,-1.0
1588097377.7653654,16,-1.0
1588097377.8682802,19,-2.0
1588097378.2278614,25,-2.0
1588097379.2776237,41,-1.0
1588097379.4141874,43,-2.0
1588097379.531599,45,-2.0
1588097379.5786355,46,0.0
1588097379.8045003,48,0.0
1588097380.1520517,54,-1.0
1588097380.2308316,55,-1.0
1588097380.3303561,57,-2.0
1588097380.9608166,66,-1.0
1588097381.420956,72,-2.0
1588097381.4607508,73,-2.0
1588097381.5150967,74,0.0
1588097381.5559652,75,-2.0
1588097381.7723172,80,-2.0
1588097382.3580027,88,-2.0
1588097383.031441,95,-1.0
1588097383.6174953,103,-2.0
1588097383.8236954,106,-2.0
1588097383.8836062,107,-1.0
1588097384.3534925,114,-2.0
1588097384.6601367,119,-1.0
1588097385.0572596,127,0.0
1588097385.187883,130,-2.0
1588097385.2484324,131,-1.0
1588097385.808336,140,-2.0
1588097385.9149609,142,-2.0
1588097385.972246,143,-2.0
1588097386.7002833,151,-2.0
1588097387.111901,156,0.0
1588097387.5127866,159,-2.0
1588097388.1879966,168,-1.0
1588097388.2694113,169,-1.0
1588097389.0917716,178,-2.0
1588097389.122255,179,-2.0
1588097389.4186857,184,-2.0
1588097389.4955258,186,-2.0
1588097389.5423574,187,-2.0
1588097389.9136682,191,-1.0
1588097390.5272493,199,-1.0
1588097391.3249128,207,-2.0
1588097391.5629756,208,-2.0
1588097391.6166244,209,-2.0
1588097391.871519,213,-2.0
1588097392.4544785,224,-2.0
1588097393.094094,230,-1.0
1588097393.1972516,235,0.0
1588097393.269087,238,1.0
1588097393.4294348,250,-2.0
1588097393.509708,256,-2.0
1588097393.727483,261,-2.0
1588097393.8520372,264,-2.0
1588097393.9865794,268,0.0
1588097394.2127945,272,-2.0
1588097394.2908192,274,-2.0
1588097395.282655,293,-2.0
1588097395.518147,298,-2.0
1588097395.5883954,299,-2.0
1588097395.6800032,304,-2.0
1588097395.7594693,308,-1.0
1588097395.766031,309,-2.0
1588097395.786522,311,-2.0
1588097396.750259,319,-2.0
1588097396.7864957,320,-2.0
1588097403.2658129,326,-2.0
1588097405.3511002,327,0.0
1588097407.7601159,328,-2.0
1588097410.3995464,331,0.0
1588097418.5451002,340,-2.0
1588097424.4316087,348,-1.0
1588097438.2387774,364,-1.0
1588097442.2790782,368,-1.0
1588097445.340147,374,-2.0
1588097451.2882574,378,-1.0
1588097454.6929522,380,1.0
1588097463.9038997,392,-1.0
1588097464.7849712,393,0.0
1588097479.571086,409,-1.0
1588097492.284275,422,-2.0
1588097493.5714028,423,-2.0
1588097494.078913,425,-1.0
1588097498.3261254,431,-1.0
1588097508.4966824,440,-1.0
1588097513.4209287,442,-1.0
1588097513.857835,443,-2.0
1588097517.7420318,446,0.0
1588097522.593421,452,-1.0
1588097529.9814627,461,-1.0
1588097533.577798,464,-2.0
1588097534.4426217,465,-1.0
1588097544.728729,474,0.0
1588097545.5502021,475,-1.0
1588097563.3651803,490,-1.0
1588097564.369901,492,-1.0
1588097566.6614962,494,-2.0
1588097599.1704485,508,-1.0
1588097605.624971,513,-1.0
1588097611.416648,515,1.0
1588097617.813795,518,0.0
1588097632.71912,526,0.0
1588097644.2361598,532,0.0
1588097650.3234673,534,0.0
1588097654.1479664,537,-1.0
1588097665.9725325,543,1.0
1588097680.6184196,548,2.0
1588097698.565034,558,2.0
1588097700.326255,560,0.0
1588097705.628312,564,-1.0
1588097724.37826,570,-1.0
1588097728.3374407,574,-1.0
1588097731.083528,575,2.0
1588097746.7699275,580,4.0
1588097749.4132698,582,-1.0
1588097750.2134264,583,-1.0
1588097754.1496818,585,-1.0
1588097758.3342206,587,0.0
1588097759.400885,588,-2.0
1588097772.0896587,593,0.0
1588097773.424326,594,-2.0
1588097784.4584024,603,-2.0
1588097804.4930465,609,0.0
1588097810.0516381,611,1.0
1588097823.0592895,616,0.0
1588097833.4667625,621,-1.0
1588097841.995219,623,0.0
1588097864.706347,635,-1.0
1588097879.8530738,642,0.0
1588097883.3538256,643,1.0
1588097888.3500416,645,-1.0
1588097888.8818362,646,0.0
1588097890.7109814,647,0.0
1588097893.621432,648,2.0
1588097901.6900826,650,1.0
1588097911.9481173,653,-1.0
1588097922.806695,657,0.0
1588097929.02061,662,-2.0
1588097940.000788,665,0.0
1588097942.1596515,669,-2.0
1588097951.7801774,672,-1.0
1588097952.052942,673,-1.0
1588097955.8813717,675,0.0
1588097959.2500916,676,2.0
1588097962.808043,679,-1.0
1588097967.2493634,680,3.0
1588097979.7464478,683,0.0
1588097983.1412802,684,2.0
1588097990.0996664,689,0.0
1588097991.558724,690,1.0
1588098003.77808,697,-2.0
1588098008.7238796,700,-1.0
1588098017.8218055,704,-2.0
1588098032.155657,707,3.0
1588098043.7121735,709,-2.0
1588098050.6666703,711,1.0
1588098057.0342526,715,-1.0
1588098060.5270016,719,-1.0
1588098070.687504,722,1.0
1588098071.8104765,723,0.0
1588098073.0081036,724,0.0
1588098088.1183414,731,-1.0
1588098101.4634347,737,2.0
1588098106.7371788,739,0.0
1588098110.4325964,740,0.0
1588098113.7505436,744,-2.0
1588098119.0492234,748,1.0
1588098125.4298232,751,0.0
1588098128.2753916,752,-1.0
1588098134.2805748,753,-2.0
1588098139.442515,755,-1.0
1588098145.927876,757,-1.0
1588098157.994526,766,-2.0
1588098163.521768,767,-1.0
1588098171.5690265,770,-1.0
1588098173.7865193,771,-1.0
1588098175.1298285,772,1.0
1588098179.2350135,774,0.0
1588098182.2261171,775,1.0
1588098192.075456,781,-2.0
1588098205.9230218,785,-2.0
1588098212.4583147,786,0.0
1588098226.695755,788,1.0
1588098229.5127835,790,-2.0
1588098239.4109182,793,-1.0
1588098240.544223,794,-1.0
1588098243.0681458,795,-2.0
1588098245.240282,796,-2.0
1588098253.4906023,799,-2.0
1588098265.1248188,803,0.0
1588098269.0753212,808,0.0
1588098270.1646557,809,1.0
1588098272.2196796,810,0.0
1588098274.2974744,816,0.0
1588098276.5436969,822,0.0
1588098283.392384,826,3.0
1588098286.698254,829,1.0
1588098288.8950787,833,0.0
1588098294.5236728,837,3.0
1588098295.5541518,839,-2.0
1588098300.076186,844,0.0
1588098304.7082646,847,0.0
1588098317.7123585,868,-2.0
1588098323.1111887,870,5.0
1588098324.5264032,871,1.0
1588098326.2910118,875,0.0
1588098327.5178916,877,1.0
1588098333.506081,881,-1.0
1588098336.058243,883,2.0
1588098346.4534786,891,-2.0
1588098350.4150627,897,4.0
1588098356.3744957,901,-1.0
1588098365.1341662,908,0.0
1588098365.533572,909,-2.0
1588098366.5636816,910,1.0
1588098369.8950567,911,0.0
1588098373.9243507,916,-1.0
1588098374.9290512,918,-2.0
1588098378.7685835,921,1.0
1588098379.2441542,922,0.0
1588098380.5169582,924,0.0
1588098385.3403277,932,-1.0
1588098386.3744788,933,0.0
1588098388.2851048,936,0.0
1588098393.6078928,943,1.0
1588098397.1665664,946,1.0
1588098408.363657,955,0.0
1588098411.0489373,957,1.0
1588098412.4536812,958,3.0
1588098413.036105,959,1.0
1588098416.3123648,962,-2.0
1588098416.4672878,963,-2.0
1588098420.3901818,967,-2.0
1588098427.7018163,972,3.0
1588098428.901456,973,5.0
1588098435.7124596,977,0.0
1588098436.8180459,978,0.0
1588098436.9619546,979,-2.0
1588098437.5791342,980,0.0
1588098438.8422334,984,-2.0
1588098439.1550028,985,0.0
1588098442.1430328,988,-2.0
1588098443.3907855,989,-2.0
1588098448.6495092,997,-1.0
1588098453.3632817,1001,-1.0
1588098457.5957086,1003,4.0
1588098458.9638045,1005,-1.0
1588098459.4353652,1006,0.0
1588098463.0171146,1013,-1.0
1588098463.1374965,1014,-1.0
1588098464.7026334,1015,-1.0
1588098466.7650156,1018,2.0
1588098472.1427858,1026,-2.0
1588098475.0097032,1028,-2.0
1588098479.2230241,1032,4.0
1588098479.7013493,1033,0.0
1588098480.7081296,1036,-2.0
1588098482.3296077,1038,3.0
1588098492.6568482,1045,1.0
1588098503.6440516,1056,-2.0
1588098505.035067,1058,-2.0
1588098515.421344,1064,0.0
1588098517.8329608,1065,1.0
1588098519.5165396,1067,4.0
1588098520.4424412,1069,-1.0
1588098523.7502258,1073,2.0
1588098529.6712725,1077,1.0
1588098531.3005867,1079,1.0
1588098541.0661757,1084,2.0
1588098541.5173357,1085,-1.0
1588098541.7818537,1086,-1.0
1588098551.6929088,1094,-2.0
1588098559.902725,1100,2.0
1588098564.2142062,1104,4.0
1588098564.893345,1105,-1.0
1588098567.8111217,1106,2.0
1588098584.8425395,1115,1.0
1588098585.5742216,1117,1.0
1588098590.7787914,1120,2.0
1588098598.899362,1126,-1.0
1588098600.0714014,1127,1.0
1588098611.9273605,1134,1.0
1588098612.8601785,1136,-1.0
1588098648.2314198,1156,5.0
1588098649.7440622,1157,2.0
1588098654.9484408,1161,0.0
1588098655.3868368,1162,-1.0
1588098657.4183345,1163,-2.0
1588098686.8206365,1181,-1.0
1588098695.025671,1184,1.0
1588098697.973494,1186,2.0
1588098711.9086838,1193,0.0
1588098712.4985707,1194,-1.0
1588098720.3116686,1200,0.0
1588098722.0897605,1202,-2.0
1588098731.6895895,1207,5.0
1588098735.1697867,1209,0.0
1588098737.707905,1211,-1.0
1588098743.3445892,1215,-1.0
1588098759.9417536,1225,-1.0
1588098773.612418,1233,4.0
1588098773.7118287,1234,-2.0
1588098773.9087164,1235,-2.0
1588098777.4213195,1237,0.0
1588098786.3952792,1240,2.0
1588098792.5713105,1245,-1.0
1588098794.5948746,1248,0.0
1588098812.4521124,1254,2.0
1588098813.9341295,1256,-1.0
1588098817.7161548,1258,-1.0
1588098819.053604,1259,1.0
1588098821.4661906,1262,2.0
1588098824.994993,1264,2.0
1588098827.5155754,1267,0.0
1588098839.0193355,1275,0.0
1588098846.4089851,1282,0.0
1588098854.4466484,1288,-1.0
1588098866.7046583,1292,-1.0
1588098867.9407706,1293,0.0
1588098868.4059596,1294,-1.0
1588098869.8329597,1295,3.0
1588098879.5002184,1301,-1.0
1588098886.7918398,1304,7.0
1588098897.4318044,1311,-1.0
1588098905.1714342,1313,1.0
1588098911.7152686,1316,2.0
1588098914.9773529,1317,3.0
1588098928.2800338,1320,3.0
1588098948.3132637,1326,4.0
1588098954.4442937,1328,1.0
1588098959.9023905,1331,-2.0
