Wall time,Step,Value
1588139040.1614954,6,-2.0
1588139040.22439,16,-2.0
1588139040.244131,19,-1.0
1588139040.3020504,25,-1.0
1588139040.494684,41,0.0
1588139040.519916,43,-1.0
1588139040.539113,45,-1.0
1588139040.542124,46,-2.0
1588139040.5633469,48,-1.0
1588139040.616262,54,-1.0
1588139040.6347036,55,-1.0
1588139040.649709,57,-2.0
1588139040.8223882,66,-2.0
1588139040.8948011,72,-2.0
1588139040.924711,73,1.0
1588139040.944207,74,-1.0
1588139040.9687312,75,1.0
1588139041.0109575,80,0.0
1588139041.0854812,88,-1.0
1588139041.152743,95,-1.0
1588139041.2595944,103,0.0
1588139041.283099,106,-2.0
1588139041.308361,107,-1.0
1588139041.4291139,114,-2.0
1588139041.472216,119,-1.0
1588139041.5558715,127,-2.0
1588139041.6107397,130,-2.0
1588139041.6300802,131,-1.0
1588139041.7506049,140,-1.0
1588139041.76731,142,0.0
1588139041.7745345,143,-2.0
1588139041.8989897,151,0.0
1588139041.948505,156,-2.0
1588139041.9888246,159,-2.0
1588139042.090292,168,-2.0
1588139042.0982416,169,-1.0
1588139042.2026205,178,-1.0
1588139042.2185433,179,-1.0
1588139042.3283365,184,-2.0
1588139042.3536828,186,-1.0
1588139042.3614256,187,-2.0
1588139042.4299147,191,-1.0
1588139042.5246913,199,-1.0
1588139042.644916,207,-2.0
1588139042.6555014,208,-1.0
1588139042.6729054,209,-1.0
1588139042.7159014,213,-2.0
1588139042.8463368,224,0.0
1588139042.9184098,230,-1.0
1588139043.0253134,235,0.0
1588139043.0915027,238,-1.0
1588139043.1897779,250,-1.0
1588139043.282495,256,-1.0
1588139043.3398075,261,-1.0
1588139043.3651192,264,-1.0
1588139043.4556794,268,0.0
1588139043.5439546,272,-1.0
1588139043.5660388,274,-2.0
1588139043.897917,293,-1.0
1588139043.9436255,298,-1.0
1588139043.957443,299,0.0
1588139044.0519028,304,0.0
1588139044.118997,308,1.0
1588139044.1288211,309,-1.0
1588139044.1628265,311,-1.0
1588139045.427851,319,-2.0
1588139045.6366215,320,-2.0
1588139046.9828131,326,1.0
1588139047.3796933,327,-2.0
1588139047.5031972,328,-2.0
1588139047.9690692,331,0.0
1588139050.2192695,340,-1.0
1588139052.0667665,348,-2.0
1588139054.9847732,364,-2.0
1588139055.5468025,368,-2.0
1588139057.3307076,374,-2.0
1588139058.1109533,378,0.0
1588139058.4900568,380,-1.0
1588139060.7926161,392,-1.0
1588139061.041767,393,0.0
1588139064.0936878,409,-2.0
1588139067.5845773,422,-2.0
1588139067.6766489,423,-2.0
1588139068.2041888,425,-1.0
1588139069.3887835,431,-1.0
1588139070.7160475,440,-1.0
1588139071.1216698,442,-1.0
1588139071.297333,443,1.0
1588139071.9011743,446,0.0
1588139073.188968,452,-2.0
1588139075.0449686,461,-2.0
1588139075.5717306,464,-2.0
1588139075.7800317,465,-2.0
1588139077.394188,474,1.0
1588139077.7660353,475,-1.0
1588139080.7639756,490,-2.0
1588139081.211656,492,-1.0
1588139081.486606,494,-1.0
1588139086.094592,508,-2.0
1588139087.1459377,513,-1.0
1588139087.4948766,515,-2.0
1588139088.5684676,518,-1.0
1588139091.165183,526,-1.0
1588139092.9273014,532,-2.0
1588139093.578447,534,-1.0
1588139095.1138597,537,-1.0
1588139097.2333083,543,-2.0
1588139099.5469902,548,-1.0
1588139102.059519,558,-1.0
1588139102.9724782,560,-2.0
1588139104.2516315,564,0.0
1588139106.1929631,570,-1.0
1588139107.3736172,574,-1.0
1588139107.4688087,575,-1.0
1588139109.0131295,580,-1.0
1588139109.4263945,582,-1.0
1588139109.6167052,583,-1.0
1588139111.0163162,585,-1.0
1588139112.0483007,587,1.0
1588139112.530407,588,0.0
1588139114.1938233,593,-2.0
1588139114.5547016,594,-1.0
1588139115.5962873,603,-1.0
1588139117.6581821,609,-2.0
1588139118.0970511,611,-1.0
1588139119.7284677,616,-2.0
1588139121.2392993,621,-2.0
1588139121.4990964,623,-1.0
1588139125.7999578,635,0.0
1588139128.8014414,642,-1.0
1588139128.9014745,643,-1.0
1588139130.2702181,645,-1.0
1588139130.391137,646,-2.0
1588139130.7139163,647,0.0
1588139130.9875638,648,1.0
1588139131.5031843,650,-1.0
1588139133.0900972,653,-1.0
1588139134.404398,657,-1.0
1588139140.4686134,662,5.0
1588139141.6720037,665,1.0
1588139143.961183,669,0.0
1588139145.1879122,672,1.0
1588139145.6835935,673,1.0
1588139148.9537232,675,-1.0
1588139149.20491,676,-2.0
1588139150.8629344,679,-2.0
1588139151.2420888,680,-1.0
1588139152.6288717,683,-1.0
1588139153.7432435,684,1.0
1588139156.6774597,689,-1.0
1588139158.093811,690,0.0
1588139161.8392625,697,-1.0
1588139162.4558566,700,-1.0
1588139163.7429698,704,-1.0
1588139165.071511,707,-2.0
1588139165.6633992,709,-1.0
1588139166.0834625,711,0.0
1588139168.147404,715,-1.0
1588139171.634937,719,1.0
1588139173.1431463,722,-1.0
1588139173.2434564,723,-1.0
1588139174.1200252,724,-1.0
1588139179.9358578,731,1.0
1588139182.2864592,737,-1.0
1588139184.5227432,739,0.0
1588139184.8723755,740,-2.0
1588139186.8138394,744,-1.0
1588139188.3991816,748,-1.0
1588139190.9362266,751,0.0
