Wall time,Step,Value
1588034225.0727975,6,-2.0
1588034226.291408,16,-2.0
1588034226.8093138,19,-1.0
1588034228.7399526,25,-1.0
1588034232.434074,41,-1.0
1588034232.7411404,43,-1.0
1588034233.1357083,45,-2.0
1588034233.2060351,46,-2.0
1588034233.6572776,48,-2.0
1588034234.5120866,54,-2.0
1588034234.6476643,55,-2.0
1588034234.849376,57,-2.0
1588034238.616594,66,-1.0
1588034239.5753567,72,-2.0
1588034239.7727463,73,-1.0
1588034240.408833,74,-2.0
1588034240.5168662,75,-2.0
1588034241.541313,80,-1.0
1588034243.2593696,88,0.0
1588034244.7830198,95,0.0
1588034246.771764,103,-1.0
1588034247.3836257,106,-2.0
1588034247.5365672,107,-1.0
1588034249.2450318,114,-2.0
1588034250.6986573,119,0.0
1588034253.2390792,127,-2.0
1588034253.6907148,130,-2.0
1588034253.7326262,131,-2.0
1588034255.5961533,140,-2.0
1588034256.184525,142,1.0
1588034256.4010568,143,-2.0
1588034258.425485,151,-1.0
1588034260.2749588,156,-1.0
1588034260.693069,159,-2.0
1588034262.338953,168,-2.0
1588034262.6046026,169,0.0
1588034264.1184983,178,-1.0
1588034264.910142,179,-2.0
1588034266.5085611,184,-2.0
1588034267.051722,186,-2.0
1588034267.1487825,187,-1.0
1588034267.5910418,191,-2.0
1588034269.2333086,199,-2.0
1588034271.3471875,207,-1.0
1588034271.6441886,208,-1.0
1588034271.9131215,209,-1.0
1588034273.014989,213,-1.0
1588034274.8122964,224,-2.0
1588034275.9065692,230,-2.0
1588034277.0978081,235,-1.0
1588034277.6607533,238,-2.0
1588034280.0372236,250,0.0
1588034282.10559,256,-1.0
1588034283.6469786,261,-2.0
1588034284.313078,264,-1.0
1588034285.0464928,268,-1.0
1588034285.8819883,272,-2.0
1588034286.2863235,274,-2.0
1588034292.4184642,293,-2.0
1588034293.5872488,298,-1.0
1588034293.7736664,299,-1.0
1588034295.2769105,304,-2.0
1588034296.1792057,308,-2.0
1588034296.29663,309,-2.0
1588034296.709235,311,-2.0
1588034298.9505336,319,-2.0
1588034299.4487393,320,-2.0
1588034300.8876357,326,-2.0
1588034301.1558647,327,-1.0
1588034301.2620525,328,-2.0
1588034301.6091452,331,-1.0
1588034303.7626688,340,-1.0
1588034305.8587446,348,0.0
1588034310.4569554,364,-1.0
1588034311.1108787,368,-2.0
1588034313.4118674,374,-2.0
1588034314.689663,378,-1.0
1588034315.0256479,380,-1.0
1588034317.7952235,392,-1.0
1588034318.0650768,393,-2.0
1588034323.8502471,409,-2.0
1588034328.4061317,422,2.0
1588034328.4982343,423,-2.0
1588034329.0463824,425,0.0
1588034330.4210203,431,-1.0
1588034333.1717572,440,-1.0
1588034333.5511465,442,-2.0
1588034333.823209,443,-2.0
1588034334.3698657,446,-1.0
1588034336.0936837,452,-1.0
1588034339.2017643,461,-1.0
1588034339.7671387,464,-2.0
1588034340.6343348,465,-1.0
1588034342.9121127,474,-1.0
1588034343.0864336,475,-2.0
1588034346.6248357,490,-2.0
1588034346.8878622,492,-1.0
1588034347.5963783,494,-1.0
1588034351.1200807,508,-1.0
1588034352.40005,513,0.0
1588034352.7997775,515,0.0
