Wall time,Step,Value
1587980405.1345336,6,-2.0
1587980405.197793,16,-2.0
1587980405.2258477,19,0.0
1587980405.2731154,25,-1.0
1587980405.4056928,41,-2.0
1587980405.4202743,43,-2.0
1587980405.443299,45,1.0
1587980405.4476447,46,-2.0
1587980405.4625602,48,-1.0
1587980405.5046096,54,-1.0
1587980405.512147,55,-1.0
1587980405.5283394,57,-2.0
1587980405.608609,66,-2.0
1587980405.6905131,72,-2.0
1587980405.6971257,73,-2.0
1587980405.7128363,74,-2.0
1587980405.7470043,75,-1.0
1587980405.8157156,80,-2.0
1587980405.9167907,88,-1.0
1587980405.9544961,95,-1.0
1587980406.0169468,103,0.0
1587980406.0357425,106,-1.0
1587980406.0518258,107,-1.0
1587980406.117335,114,-2.0
1587980406.1421683,119,-2.0
1587980406.2277749,127,-2.0
1587980406.2552426,130,-1.0
1587980406.2612333,131,-2.0
1587980406.3680537,140,-2.0
1587980406.3929474,142,-2.0
1587980406.3990977,143,-2.0
1587980406.4717004,151,-2.0
1587980406.5157104,156,-2.0
1587980406.5437348,159,-2.0
1587980406.6652296,168,-1.0
1587980406.6890256,169,-2.0
1587980406.7885768,178,-1.0
1587980406.8009906,179,-1.0
1587980406.8380914,184,-2.0
1587980406.8606644,186,-1.0
1587980406.8704317,187,-2.0
1587980406.9023755,191,-2.0
1587980406.9707425,199,-1.0
1587980407.0470774,207,-2.0
1587980407.0571523,208,-2.0
1587980407.0719213,209,0.0
1587980407.120164,213,-2.0
1587980407.2443225,224,-1.0
1587980407.2803948,230,-2.0
1587980407.318582,235,-2.0
1587980407.3708355,238,-1.0
1587980407.4823303,250,-1.0
1587980407.519281,256,-2.0
1587980407.564383,261,-1.0
1587980407.6125739,264,-2.0
1587980407.6555023,268,-1.0
1587980407.6987655,272,0.0
1587980407.72302,274,-2.0
1587980407.9086437,293,-2.0
1587980407.968224,298,-2.0
1587980407.9728696,299,-2.0
1587980408.0324516,304,-2.0
1587980408.1264963,308,-2.0
1587980408.1329622,309,-2.0
1587980408.157152,311,-2.0
1587980408.2412217,319,-1.0
1587980408.258024,320,-2.0
1587980408.31304,326,-2.0
1587980408.3185327,327,-2.0
1587980408.3354719,328,-1.0
1587980408.361371,331,-2.0
1587980408.4536126,340,-2.0
1587980408.519257,348,-2.0
1587980408.872445,364,-1.0
1587980409.5046086,368,-1.0
1587980410.8039596,374,-1.0
1587980411.356853,378,-2.0
1587980411.8973784,380,2.0
1587980414.283832,392,-2.0
1587980414.4075375,393,-2.0
1587980417.7079675,409,-2.0
1587980419.6687732,422,-1.0
