Wall time,Step,Value
1587950273.0628464,6,0.0
1587950274.4209166,16,-2.0
1587950274.8693228,19,-1.0
1587950275.5657551,25,0.0
1587950278.5566046,41,0.0
1587950278.8334293,43,-2.0
1587950279.2593403,45,1.0
1587950279.3315964,46,-2.0
1587950279.6218581,48,-1.0
1587950280.5857923,54,-2.0
1587950280.8288786,55,-2.0
1587950281.6768136,57,2.0
1587950283.1112685,66,-1.0
1587950284.2111008,72,-1.0
1587950284.7893362,73,1.0
1587950285.004158,74,-2.0
1587950285.0801744,75,-2.0
1587950286.1630435,80,-1.0
1587950287.6333427,88,0.0
1587950288.6300962,95,-2.0
1587950290.050975,103,1.0
1587950290.5449986,106,-2.0
1587950290.6108153,107,-2.0
1587950291.473476,114,-1.0
1587950292.450956,119,-2.0
1587950293.910044,127,-1.0
1587950294.126687,130,-2.0
1587950294.198021,131,-2.0
1587950295.774507,140,-2.0
1587950296.005335,142,-1.0
1587950296.08016,143,-2.0
1587950297.8071938,151,-2.0
1587950298.6208637,156,-2.0
1587950299.0052938,159,-2.0
1587950300.6507933,168,-2.0
1587950300.7304058,169,-2.0
1587950302.3066204,178,-1.0
1587950302.3702593,179,-1.0
1587950303.1121368,184,-2.0
1587950303.3395367,186,-1.0
1587950304.1386664,187,1.0
1587950304.6308272,191,-1.0
1587950305.9489658,199,-1.0
1587950307.0387392,207,-1.0
1587950307.2617555,208,-1.0
1587950307.3303835,209,-2.0
1587950307.9286458,213,3.0
1587950308.9546304,224,-2.0
1587950309.4293394,230,1.0
1587950310.3238258,235,-1.0
1587950310.6968937,238,-1.0
1587950311.731019,250,0.0
1587950312.8153346,256,-2.0
1587950313.1899426,261,-2.0
1587950313.6255667,264,-2.0
1587950314.0870845,268,-1.0
1587950314.64067,272,-2.0
1587950314.8940816,274,-2.0
1587950317.4360228,293,-1.0
1587950317.9239771,298,-1.0
1587950317.9760263,299,-1.0
1587950318.6267235,304,-1.0
1587950319.1398761,308,-1.0
1587950319.3173559,309,-1.0
1587950319.6829565,311,-1.0
1587950321.1775904,319,-1.0
1587950321.2391727,320,-1.0
1587950321.579344,326,-2.0
1587950321.6842773,327,-2.0
1587950321.917522,328,-1.0
1587950322.3340826,331,-1.0
1587950323.3078234,340,0.0
1587950324.6136236,348,-2.0
1587950326.4077532,364,-1.0
1587950327.0269468,368,0.0
1587950327.6993632,374,0.0
1587950328.3147259,378,2.0
1587950328.4541593,380,-1.0
1587950331.18947,392,-2.0
1587950331.2407808,393,-2.0
1587950334.3743868,409,2.0
1587950336.920861,422,-1.0
1587950337.054927,423,-2.0
1587950337.2130241,425,-1.0
1587950338.1928182,431,-1.0
1587950339.974236,440,0.0
1587950340.7388642,442,-2.0
1587950340.8308232,443,-2.0
1587950341.2968376,446,-1.0
1587950342.4988947,452,-2.0
1587950343.573591,461,-2.0
1587950343.8242254,464,-2.0
1587950343.9703143,465,-1.0
1587950345.0589328,474,-1.0
1587950345.1496701,475,-2.0
1587950348.4241714,490,0.0
1587950348.6826432,492,-2.0
1587950348.9147205,494,0.0
1587950351.0962143,508,-1.0
1587950351.7332387,513,-1.0
1587950351.9527483,515,0.0
1587950352.527903,518,-1.0
1587950354.1031332,526,-1.0
1587950354.914809,532,-2.0
1587950355.213302,534,-2.0
1587950355.4581156,537,-1.0
1587950356.1930892,543,1.0
1587950357.091309,548,0.0
1587950359.0130346,558,0.0
1587950359.5839903,560,1.0
1587950359.9752607,564,-1.0
1587950360.8848002,570,-2.0
1587950361.9488785,574,-1.0
1587950362.0840838,575,-2.0
1587950362.550203,580,-1.0
1587950362.9272308,582,-2.0
1587950363.01979,583,-2.0
1587950363.2992802,585,-1.0
1587950363.441047,587,1.0
1587950363.6019778,588,-1.0
1587950364.327091,593,-2.0
1587950364.4042637,594,0.0
1587950366.2578511,603,-2.0
1587950367.0433795,609,-2.0
1587950367.2297256,611,-2.0
1587950368.6656682,616,-2.0
1587950369.248596,621,-1.0
1587950369.5758548,623,-1.0
1587950372.004877,635,-2.0
1587950374.0569026,642,-1.0
1587950374.2130747,643,-2.0
1587950374.7460089,645,-2.0
1587950374.9708827,646,-2.0
1587950375.1060865,647,-2.0
1587950375.317705,648,-1.0
1587950375.511859,650,-1.0
1587950375.8389666,653,-2.0
1587950376.4422395,657,0.0
1587950377.0023553,662,0.0
1587950377.7336392,665,-1.0
1587950378.583908,669,-1.0
1587950379.4022586,672,1.0
1587950379.5179527,673,-1.0
1587950380.0571947,675,-2.0
1587950380.1889846,676,-1.0
1587950381.2815049,679,0.0
1587950381.397821,680,-2.0
1587950381.7322896,683,-2.0
1587950382.1763623,684,-1.0
1587950383.5877073,689,-2.0
1587950385.0148816,690,-1.0
1587950386.1116538,697,-2.0
1587950386.5606945,700,1.0
1587950387.7600617,704,0.0
1587950388.5166001,707,0.0
1587950389.1377654,709,2.0
1587950389.7097101,711,-1.0
1587950390.383669,715,-2.0
1587950391.0908267,719,1.0
1587950391.9660766,722,0.0
1587950392.0308158,723,-1.0
1587950392.1405983,724,-1.0
1587950393.4132743,731,3.0
1587950394.4800014,737,-2.0
1587950395.0283537,739,-2.0
1587950395.1678693,740,-1.0
1587950395.8210053,744,1.0
1587950396.4743478,748,-1.0
1587950396.886038,751,-2.0
1587950397.0053446,752,-2.0
1587950397.417359,753,1.0
1587950397.6853511,755,-2.0
1587950397.8039372,757,-2.0
1587950399.6107337,766,0.0
1587950399.8197775,767,-1.0
1587950400.4385877,770,-2.0
1587950400.5539563,771,0.0
1587950400.710534,772,-2.0
1587950400.9351916,774,-2.0
1587950401.2566738,775,-2.0
1587950404.1708798,781,0.0
1587950405.1162426,785,0.0
1587950405.184026,786,-2.0
1587950406.3032882,788,0.0
