Wall time,Step,Value
1588036119.9857018,1259,-2.0
1588036131.2752526,1262,8.0
1588036152.136595,1264,33.0
1588036162.1526737,1267,4.0
1588036190.733898,1275,-2.0
1588036225.5940533,1282,9.0
1588036253.3050337,1288,-1.0
1588036275.3158708,1292,20.0
1588036275.5964162,1293,-1.0
1588036282.9841633,1294,21.0
1588036283.9666674,1295,0.0
1588036304.209002,1301,22.0
1588036322.7624202,1304,4.0
1588036361.74477,1311,14.0
1588036367.4181442,1313,0.0
1588036386.4378474,1316,22.0
1588036387.0731397,1317,1.0
1588036399.8228953,1320,4.0
1588036429.8627822,1326,2.0
1588036441.4242327,1328,0.0
1588036463.1278508,1331,25.0
1588036476.5088353,1334,-2.0
1588036482.9721107,1335,18.0
1588036492.286438,1337,13.0
1588036496.1497927,1338,2.0
1588036524.438206,1344,7.0
1588036594.2231135,1356,20.0
1588036649.2482634,1367,28.0
1588036674.6137764,1371,4.0
1588036710.0347807,1380,24.0
1588036749.8986828,1385,29.0
1588036760.628746,1386,22.0
1588036772.3630679,1389,10.0
1588036782.9969802,1390,25.0
1588036801.1052976,1392,27.0
1588036810.4351015,1393,32.0
1588036828.3225553,1396,27.0
1588036906.9443371,1413,8.0
1588036912.657047,1414,21.0
1588036919.8081932,1415,28.0
1588036938.9622858,1420,0.0
1588036958.0553496,1423,18.0
1588036976.9991293,1427,9.0
1588036977.103752,1428,-2.0
1588036977.3952487,1429,2.0
1588036997.2825532,1433,4.0
1588037006.7143073,1434,30.0
1588037023.5663133,1437,32.0
1588037051.475126,1441,29.0
1588037058.483035,1443,27.0
1588037111.3494775,1457,23.0
1588037165.9499094,1466,30.0
1588037169.545099,1467,24.0
1588037225.4250402,1478,13.0
1588037280.267373,1486,23.0
1588037281.7021198,1487,10.0
1588037297.5424166,1490,-2.0
1588037301.08394,1492,16.0
1588037307.8212814,1493,32.0
1588037352.2928143,1501,-2.0
1588037352.4424214,1502,-1.0
1588037356.9473717,1503,19.0
1588037376.7986553,1507,0.0
1588037383.1891487,1509,12.0
1588037393.948531,1511,32.0
1588037435.1737075,1519,16.0
1588037451.3048446,1524,30.0
1588037458.8618004,1525,37.0
1588037470.7367308,1528,13.0
1588037504.8162563,1535,21.0
1588037537.8242378,1547,11.0
1588037561.8297265,1552,31.0
1588037566.4068935,1553,25.0
1588037573.4331656,1555,25.0
1588037575.3276575,1556,12.0
1588037606.720302,1562,31.0
1588037643.1045682,1569,29.0
1588037647.3276854,1570,22.0
1588037692.7776768,1579,30.0
1588037711.9758375,1583,28.0
1588037726.1067705,1585,40.0
1588037747.7630222,1589,31.0
1588037802.0701892,1598,37.0
1588037822.452434,1605,6.0
1588037825.374395,1606,23.0
1588037853.0859442,1611,33.0
1588037886.267693,1619,30.0
1588037895.0879488,1621,28.0
1588037908.9146101,1628,-2.0
1588037912.5391273,1629,27.0
1588037937.8064744,1633,51.0
1588037962.0564501,1638,1.0
1588037978.844737,1641,39.0
1588037985.914708,1643,29.0
1588038000.5662477,1646,32.0
1588038011.6524987,1649,35.0
1588038025.570891,1653,8.0
1588038067.0316563,1661,7.0
1588038100.1287003,1669,14.0
1588038106.4905703,1671,35.0
1588038119.6561098,1673,42.0
1588038130.0258203,1676,41.0
1588038138.4412713,1677,40.0
1588038160.3267906,1683,40.0
1588038162.728986,1684,14.0
1588038201.6509204,1692,-2.0
1588038216.6791925,1695,2.0
1588038225.792892,1696,42.0
